Date      Particulars             Voucher No.       Bill No               Amount
04/04/17     SHIVLILA AGENCIES             CR/1             62                    752.00
04/04/17     APTE AGENCIES                 CR/2             178                   238.00
04/04/17     APTE AGENCIES                 CR/3             106                  3472.00
04/04/17     DHANWANTRI MEDICAL STORES     CR/4             19                   1222.00
04/04/17     MANJUSHRI PHARMA              CR/5             19                   2078.00
04/04/17     RAJENDRA MEDICAL STORES       CR/6             9                    1263.00
04/04/17     RAJENDRA AGENCIES             CR/7             42                    528.00
04/04/17     SURYA DISTRIBUTORS            CR/8             14                   6009.00
04/04/17     RAJENDRA AGENCIES             CR/9             39                   2531.00
05/04/17     PANDURANG DRUG HOUSE          CR/10            99                    916.00
05/04/17     BAHUBALI PHARMACEUTICALS      CR/11            99                    992.00
05/04/17     SHIVLILA AGENCIES             CR/12            177                   360.00
05/04/17     PANDURANG DRUG HOUSE          CR/13            114                  1223.00
06/04/17     GURUKRUPA DISTRIBUTORS, B     CR/14            76                    499.00
06/04/17     KRISHNA DISTRIBUTORS          CR/15            77                    899.00
06/04/17     APTE AGENCIES                 CR/16            701                   972.00
06/04/17     RAJENDRA AGENCIES             CR/17                57                   1034.00
06/04/17     DHANWANTRI MEDICAL STORES     CR/18            187                  3734.00
08/04/17     KRISHNA DISTRIBUTORS          CR/19            169                  1191.00
08/04/17     SHREE MEDICALS                CR/25            163                  1120.00
08/04/17     SHIVLILA AGENCIES             CR/26            346                   663.00
09/04/17     SAMARATH SALES                CR/20            23                    286.00
09/04/17     VIVEK AGENCIES                CR/21            46                   1323.00
09/04/17     RAJ DISTRIBUTORS              CR/22            58                   1431.00
09/04/17     SURAJ MEDICAL & GENERAL S     CR/23            134                   655.00
09/04/17     GURUKRUPA DISTRIBUTORS, B     CR/24            107                  1091.00
10/04/17     BAHUBALI PHARMACEUTICALS      CR/27            278                  1520.00
10/04/17     SURYA DISTRIBUTORS            CR/28            37                   5372.00
10/04/17     APTE AGENCIES                 CR/29            1150                 2003.00
10/04/17     MANJUSHRI PHARMA              CR/30            380                   592.00
11/04/17     GURUKRUPA DISTRIBUTORS, B     CR/31            144                   798.00
11/04/17     RAJENDRA MEDICAL STORES       CR/32            82                   1363.00
11/04/17     MANJUSHRI PHARMA              CR/36            403                   533.00
11/04/17     APTE AGENCIES                 CR/37            1789                  859.00
12/04/17     BAHUBALI PHARMACEUTICALS      CR/33            367                   309.00
12/04/17     DHANWANTRI MEDICAL STORES     CR/34            466                  1546.00
